Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,ID,Prefix (Flat),VLAN Group,Pool,Marked Utilized,Tags,Created,Last updated,Depth
10.255.209.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D9 - Access Management,224,10.255.209.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:24,1
10.255.210.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D10 - Access Management,225,10.255.210.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:24,1
10.255.211.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D11 - Access Management,226,10.255.211.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:25,1
10.255.212.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D12 - Access Management,227,10.255.212.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:26,1
10.255.213.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D13 - Access Management,229,10.255.213.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:27,1
10.255.214.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,D14 - Access Management,231,10.255.214.0/24,npflan-access,False,False,,2016-09-03 00:00,2021-06-23 19:28,1
10.255.217.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,G2 - Access Management,791,10.255.217.0/24,npflan-access,False,False,,2019-09-13 00:00,2021-06-23 19:33,1
10.255.251.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,E4 - Access Management,1004,10.255.251.0/24,npflan-access,False,False,,2022-08-09 20:50,2022-08-09 20:50,1
10.255.252.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,E3 - Access Management,1003,10.255.252.0/24,npflan-access,False,False,,2022-08-09 20:50,2022-08-09 20:50,1
10.255.253.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,E2 - Access Management,1002,10.255.253.0/24,npflan-access,False,False,,2022-08-09 20:50,2022-08-09 20:50,1
10.255.254.0/24,Active,0,NPFLAN (npflan),0.39370078740157477%,,npflan,Management (193),Management  Netværk,E1 - Access Management,1001,10.255.254.0/24,npflan-access,False,False,,2022-08-09 20:50,2022-08-09 20:50,1
10.255.255.0/24,Active,0,NPFLAN (npflan),8.267716535433072%,,npflan,,Management  Netværk,Loopback,243,10.255.255.0/24,,False,False,,2016-09-03 00:00,2021-06-21 21:27,1
172.20.22.0/24,Active,0,NPFLAN (npflan),12.598425196850393%,,npflan,Kubernetes (41),Kubernetes,DC - Kubernetes nodes,543,172.20.22.0/24,npflan-datacenter,False,False,,2017-09-15 00:00,2022-08-09 20:35,0
192.168.0.0/16,Container,33,NPFLAN (npflan),0.201416015625%,,npflan,,Backbone link net,Distribution link net,23,192.168.0.0/16,,False,False,,2016-07-28 00:00,2021-06-22 07:33,0
192.168.0.0/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - D1,148,192.168.0.0/30,,False,False,,2016-09-03 00:00,2021-06-27 10:49,1
192.168.0.16/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D1 - D2,149,192.168.0.16/30,,False,False,,2016-09-03 00:00,2021-06-27 10:49,1
192.168.0.32/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D2 - D3,150,192.168.0.32/30,,False,False,,2016-09-03 00:00,2021-06-27 10:49,1
192.168.0.48/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D3 - Core2,151,192.168.0.48/30,,False,False,,2016-09-03 00:00,2021-06-27 10:48,1
192.168.0.64/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - D4,152,192.168.0.64/30,,False,False,,2016-09-03 00:00,2021-06-27 10:50,1
192.168.0.80/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D4 - D5,153,192.168.0.80/30,,False,False,,2016-09-03 00:00,2021-06-27 10:50,1
192.168.0.96/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D5 - D6,154,192.168.0.96/30,,False,False,,2016-09-03 00:00,2021-06-27 10:50,1
192.168.0.112/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D6 - Core2,155,192.168.0.112/30,,False,False,,2016-09-03 00:00,2021-06-27 10:50,1
192.168.0.128/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - D7,156,192.168.0.128/30,,False,False,,2016-09-03 00:00,2021-06-27 10:51,1
192.168.0.144/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D7 - D8,157,192.168.0.144/30,,False,False,,2016-09-03 00:00,2021-06-27 10:51,1
192.168.0.160/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D8 - D9,158,192.168.0.160/30,,False,False,,2016-09-03 00:00,2021-06-27 10:51,1
192.168.0.176/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D9 - Core2,159,192.168.0.176/30,,False,False,,2016-09-03 00:00,2021-06-27 10:51,1
192.168.0.192/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - D10,160,192.168.0.192/30,,False,False,,2016-09-03 00:00,2021-06-27 10:52,1
192.168.0.208/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D10 - D11,161,192.168.0.208/30,,False,False,,2016-09-03 00:00,2021-06-27 10:52,1
192.168.0.224/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D11 - D12,162,192.168.0.224/30,,False,False,,2016-09-03 00:00,2021-06-27 10:52,1
192.168.0.240/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D12 - Core2,163,192.168.0.240/30,,False,False,,2016-09-03 00:00,2021-06-27 10:52,1
192.168.1.0/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - D13,164,192.168.1.0/30,,False,False,,2016-09-03 00:00,2021-06-27 10:24,1
192.168.1.16/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D13 - D14,165,192.168.1.16/30,,False,False,,2016-09-03 00:00,2021-06-27 10:24,1
192.168.1.32/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,D14 - Core2,166,192.168.1.32/30,,False,False,,2016-09-03 00:00,2021-06-27 10:25,1
192.168.1.112/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - G2,959,192.168.1.112/30,,False,False,,2021-06-28 00:00,2021-06-28 06:18,1
192.168.1.116/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - G2,960,192.168.1.116/30,,False,False,,2021-06-28 00:00,2021-06-28 06:18,1
192.168.1.120/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,G2 - Core2,961,192.168.1.120/30,,False,False,,2021-06-28 00:00,2021-06-28 06:18,1
192.168.1.124/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,G2 - Core2,962,192.168.1.124/30,,False,False,,2021-06-28 00:00,2021-06-28 06:18,1
192.168.255.112/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,E4 - Core2,443,192.168.255.112/30,,False,False,,2016-09-17 00:00,2021-06-27 21:08,1
192.168.255.128/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,E3 - E4,381,192.168.255.128/30,,False,False,,2016-09-03 00:00,2021-06-27 21:06,1
192.168.255.144/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,E2 - E3,196,192.168.255.144/30,,False,False,,2016-09-03 00:00,2021-06-27 21:05,1
192.168.255.160/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,E1 - E2,195,192.168.255.160/30,,False,False,,2016-09-03 00:00,2021-06-27 21:03,1
192.168.255.176/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core 1 - E1,181,192.168.255.176/30,,False,False,,2016-09-03 00:00,2021-06-27 21:01,1
192.168.255.180/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core 1 - E1,1007,192.168.255.180/30,,False,False,,2022-08-12 20:06,2022-08-12 20:06,1
192.168.255.184/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core 1 - E1,1008,192.168.255.184/30,,False,False,,2022-08-12 20:06,2022-08-12 20:06,1
192.168.255.188/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core 1 - E1,1009,192.168.255.188/30,,False,False,,2022-08-12 20:06,2022-08-12 20:06,1
192.168.255.208/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - Core2,179,192.168.255.208/30,,False,False,,2016-09-03 00:00,2017-08-27 10:08,1
192.168.255.212/30,Active,0,NPFLAN (npflan),100.0%,,npflan,,Backbone link net,Core1 - Core2,539,192.168.255.212/30,,False,False,,2017-08-27 00:00,2021-06-21 18:40,1
